Resource Category,Resource Type,Name,Description,visible,verified,tags,metricName,metricNamespace,severity,windowSize,evaluationFrequency,timeAggregation,operator,threshold,criterionType,dimensions,alertSensitivity,failingPeriods,metricMeasureColumn,resouceIdColumn,autoMitigate,references
EventHub,namespaces,QuotaExceededErrors,Quota Exceeded Errors for Microsoft.EventHub.,TRUE,FALSE,"auto-generated, agc-2437",QuotaExceededErrors,Microsoft.EventHub/namespaces,3,PT5M,PT1M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs
https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-eventhub-namespaces-metrics
https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs-reference"
EventHub,namespaces,NamespaceMemoryUsage,Memory usage metric for Premium SKU namespaces.,TRUE,FALSE,"auto-generated, agc-1056",NamespaceMemoryUsage,Microsoft.EventHub/namespaces,2,PT15M,PT5M,Average,GreaterThanOrEqual,80.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs
https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-eventhub-namespaces-metrics
https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs-reference"
EventHub,namespaces,NamespaceCpuUsage,CPU usage metric for Premium SKU namespaces.,TRUE,FALSE,"auto-generated, agc-1050",NamespaceCpuUsage,Microsoft.EventHub/namespaces,2,PT15M,PT5M,Average,GreaterThanOrEqual,80.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs
https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-eventhub-namespaces-metrics
https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs-reference"
EventHub,namespaces,CaptureBacklog,Capture Backlog for Microsoft.EventHub.,TRUE,FALSE,"auto-generated, agc-553",CaptureBacklog,Microsoft.EventHub/namespaces,4,PT6H,PT1H,Average,GreaterThan,50000000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs
https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-eventhub-namespaces-metrics
https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs-reference"
EventHub,namespaces,IncomingBytes,Incoming Bytes for Microsoft.EventHub.,TRUE,FALSE,"auto-generated, agc-547",IncomingBytes,Microsoft.EventHub/namespaces,3,PT5M,PT1M,Total,GreaterThan,400000000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs
https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-eventhub-namespaces-metrics
https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs-reference"
EventHub,namespaces,OutgoingBytes,Outgoing Bytes for Microsoft.EventHub.,TRUE,FALSE,"auto-generated, agc-328",OutgoingBytes,Microsoft.EventHub/namespaces,3,PT5M,PT1M,Total,GreaterThan,400000000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs
https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-eventhub-namespaces-metrics
https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs-reference"
EventHub,clusters,CPU,CPU utilization for the Event Hub Cluster as a percentage,TRUE,FALSE,"auto-generated, agc-930",CPU,Microsoft.EventHub/clusters,2,PT15M,PT1M,Average,GreaterThan,70.0,StaticThresholdCriterion,"[{""name"": ""Role"", ""operator"": ""Include"", ""values"": [""sbsfe""]}]",,,,,false,"https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs
https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-eventhub-clusters-metrics"
ContainerInstance,containerGroups,CpuUsage,CPU usage on all cores in millicores.,TRUE,FALSE,"auto-generated, agc-1289",CpuUsage,Microsoft.ContainerInstance/containerGroups,3,PT5M,PT5M,Average,GreaterThan,,DynamicThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""containerName"", ""values"": [""*""]}]",Low,"{""numberOfEvaluationPeriods"": 4, ""minFailingPeriodsToAlert"": 4}",,,,
ContainerInstance,containerGroups,MemoryUsage,Total memory usage in byte.,TRUE,FALSE,"auto-generated, agc-1281",MemoryUsage,Microsoft.ContainerInstance/containerGroups,3,PT5M,PT5M,Average,GreaterThan,,DynamicThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""containerName"", ""values"": [""*""]}]",Low,"{""numberOfEvaluationPeriods"": 4, ""minFailingPeriodsToAlert"": 4}",,,,
ContainerInstance,containerGroups,NetworkBytesReceivedPerSecond,The network bytes received per second.,TRUE,FALSE,"auto-generated, agc-1242",NetworkBytesReceivedPerSecond,Microsoft.ContainerInstance/containerGroups,3,PT5M,PT5M,Average,GreaterThan,,DynamicThresholdCriterion,,Low,"{""numberOfEvaluationPeriods"": 4, ""minFailingPeriodsToAlert"": 4}",,,,
ContainerInstance,containerGroups,NetworkBytesTransmittedPerSecond,The network bytes transmitted per second.,TRUE,FALSE,"auto-generated, agc-1238",NetworkBytesTransmittedPerSecond,Microsoft.ContainerInstance/containerGroups,3,PT5M,PT5M,Average,GreaterThan,,DynamicThresholdCriterion,,Low,"{""numberOfEvaluationPeriods"": 4, ""minFailingPeriodsToAlert"": 4}",,,,
Web,serverFarms,CpuPercentage,The average CPU used across all instances of the plan.,TRUE,FALSE,"auto-generated, agc-93652",CpuPercentage,Microsoft.Web/serverFarms,3,PT5M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
Web,serverFarms,MemoryPercentage,The average memory used across all instances of the plan.,TRUE,FALSE,"auto-generated, agc-74727",MemoryPercentage,Microsoft.Web/serverFarms,3,PT5M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,
Web,serverFarms,HttpQueueLength,The average number of HTTP requests that had to sit on the queue before being fulfilled. A high or increasing HTTP Queue length is a symptom of a plan under heavy load.,TRUE,FALSE,"auto-generated, agc-9427",HttpQueueLength,Microsoft.Web/serverFarms,3,PT5M,PT1M,Average,GreaterThan,100.0,StaticThresholdCriterion,,,,,,,
Web,serverFarms,DiskQueueLength,The average number of both read and write requests that were queued on storage. A high disk queue length is an indication of an app that might be slowing down because of excessive disk I/O.,TRUE,FALSE,"auto-generated, agc-4971",DiskQueueLength,Microsoft.Web/serverFarms,3,PT5M,PT1M,Average,GreaterThan,100.0,StaticThresholdCriterion,,,,,,,
Web,serverFarms,SocketOutboundAll,The average number of sockets used for outbound connections across all the instances of the plan irrespective of their TCP states. Having too many outbound connections can cause connectivity errors.,TRUE,FALSE,"auto-generated, agc-1165",SocketOutboundAll,Microsoft.Web/serverFarms,3,PT5M,PT5M,Average,GreaterThan,2000.0,StaticThresholdCriterion,,,,,,,
Web,serverFarms,TcpTimeWait,The average number of sockets in TIME_WAIT state across all the instances of the plan.,TRUE,FALSE,"auto-generated, agc-403",TcpTimeWait,Microsoft.Web/serverFarms,2,PT5M,PT1M,Average,GreaterThan,300.0,StaticThresholdCriterion,,,,,,,
Web,serverFarms,BytesReceived,The average incoming bandwidth used across all instances of the plan.,TRUE,FALSE,"auto-generated, agc-289",BytesReceived,Microsoft.Web/serverFarms,3,PT5M,PT5M,Total,GreaterThan,100000.0,StaticThresholdCriterion,,,,,,,
Web,serverFarms,BytesSent,The average outgoing bandwidth used across all instances of the plan.,TRUE,FALSE,"auto-generated, agc-277",BytesSent,Microsoft.Web/serverFarms,2,PT5M,PT5M,Total,GreaterOrLessThan,,DynamicThresholdCriterion,,Low,"{""numberOfEvaluationPeriods"": 4, ""minFailingPeriodsToAlert"": 4}",,,,
Web,serverFarms,TcpEstablished,The average number of sockets in ESTABLISHED state across all the instances of the plan.,TRUE,FALSE,"auto-generated, agc-276",TcpEstablished,Microsoft.Web/serverFarms,2,PT5M,PT1M,Average,GreaterThan,1500.0,StaticThresholdCriterion,,,,,,,
Web,sites,AverageResponseTime,"The average time taken for the app to serve requests, in seconds. For WebApps and FunctionApps.",TRUE,FALSE,"auto-generated, agc-15815, rag",AverageResponseTime,Microsoft.Web/sites,3,PT5M,PT5M,Average,GreaterThan,60.0,StaticThresholdCriterion,,,,,,,
Web,sites,CpuTime,"The amount of CPU consumed by the app, in seconds. For more information about this metric. Please see https://aka.ms/website-monitor-cpu-time-vs-cpu-percentage (CPU time vs CPU percentage). For WebApps only.",TRUE,FALSE,"auto-generated, agc-11669, rag",CpuTime,Microsoft.Web/sites,3,PT5M,PT1M,Total,GreaterThan,120.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics
https://learn.microsoft.com/azure/app-service/troubleshoot-performance-degradation#monitor-your-app
https://learn.microsoft.com/azure/app-service/web-sites-monitor#cpu-time-vs-cpu-percentage
https://learn.microsoft.com/azure/app-service/web-sites-monitor#alerts-and-autoscale"
Web,sites,AppConnections,The number of bound sockets existing in the sandbox (w3wp.exe and its child processes). A bound socket is created by calling bind()/connect() APIs and remains until said socket is closed with CloseHandle()/closesocket(). For Windows WebApps and Windows\Linux FunctionApps.  Not available for Linux WebApps.,TRUE,FALSE,"auto-generated, agc-10341, rag",AppConnections,Microsoft.Web/sites,3,PT15M,PT5M,Maximum,GreaterThan,6000.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""Instance"", ""values"": [""*""]}]",,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics
https://learn.microsoft.com/azure/azure-functions/manage-connections?tabs=csharp
https://learn.microsoft.com/azure/azure-functions/configure-monitoring?tabs=v2"
Web,sites,RequestsInApplicationQueue,The number of requests in the application request queue. For Windows based WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-10057, rag",RequestsInApplicationQueue,Microsoft.Web/sites,3,PT15M,PT5M,Maximum,GreaterThan,10.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""Instance"", ""values"": [""*""]}]",,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics"
Web,sites,PrivateBytes,"Private Bytes is the current size, in bytes, of memory that the app process has allocated that can't be shared with other processes. For Windows based WebApps and FunctionApps.",TRUE,FALSE,"auto-generated, agc-7758, rag",PrivateBytes,Microsoft.Web/sites,3,PT5M,PT1M,Average,GreaterThan,1200000000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics"
Web,sites,FileSystemUsage,Percentage of filesystem quota consumed by the app. For WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-7042, rag",FileSystemUsage,Microsoft.Web/sites,1,PT6H,PT1H,Average,GreaterThan,400000000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics
https://learn.microsoft.com/azure/app-service/web-sites-monitor#quota-enforcement"
Web,sites,MemoryWorkingSet,"The current amount of memory used by the app, in MiB. For WebApps and FunctionApps.",TRUE,FALSE,"auto-generated, agc-5187, rag",MemoryWorkingSet,Microsoft.Web/sites,3,PT5M,PT1M,Average,GreaterThan,1500000000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics
https://learn.microsoft.com/azure/app-service/troubleshoot-performance-degradation#monitor-your-app"
Web,sites,Threads,The number of threads currently active in the app process. For Windows based WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-4574, rag",Threads,Microsoft.Web/sites,4,PT15M,PT5M,Average,GreaterThan,200.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics"
Web,sites,Http401,The count of requests resulting in HTTP 401 status code. For WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-4499, rag",Http401,Microsoft.Web/sites,2,PT5M,PT5M,Total,GreaterThan,20.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics
https://learn.microsoft.com/azure/azure-monitor/app/javascript-sdk?tabs=javascriptwebsdkloaderscript
https://learn.microsoft.com/azure/azure-monitor/app/asp-net-exceptions#set-up-exception-reporting"
Web,sites,Requests,The total number of requests regardless of their resulting HTTP status code. For WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-4292, rag",Requests,Microsoft.Web/sites,3,PT5M,PT1M,Total,GreaterThan,1000.0,StaticThresholdCriterion,,,,,,,
Web,sites,FunctionExecutionCount,Function Execution Count. For FunctionApps only.,TRUE,FALSE,"auto-generated, agc-3568, rag",FunctionExecutionCount,Microsoft.Web/sites,1,PT5M,PT5M,Total,LessThanOrEqual,0.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-functions/monitor-functions-reference#azure-functions-specific-metrics
https://learn.microsoft.com/azure/azure-functions/monitor-functions?tabs=portal
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics"
Web,sites,BytesSent,"The amount of outgoing bandwidth consumed by the app, in MiB. For WebApps and FunctionApps.",TRUE,FALSE,"auto-generated, agc-1448, rag",BytesSent,Microsoft.Web/sites,3,PT5M,PT1M,Average,GreaterOrLessThan,,DynamicThresholdCriterion,,Low,"{""numberOfEvaluationPeriods"": 4, ""minFailingPeriodsToAlert"": 4}",,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics"
Web,sites,Http406,The count of requests resulting in HTTP 406 status code. For WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-992, rag",Http406,Microsoft.Web/sites,1,PT15M,PT15M,Total,GreaterThan,1.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics"
Web,sites,Http3xx,The count of requests resulting in an HTTP status code >= 300 but < 400. For WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-988, rag",Http3xx,Microsoft.Web/sites,3,PT5M,PT5M,Total,GreaterThan,15.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics
https://learn.microsoft.com/azure/app-service/troubleshoot-diagnostic-logs
https://techcommunity.microsoft.com/t5/apps-on-azure-blog/troubleshooting-azure-app-service-apps-using-web-server-logs/ba-p/392329"
Web,sites,WorkflowRunsFailureRate,Workflow Runs Failure Rate. For LogicApps only.,TRUE,FALSE,"auto-generated, agc-865, rag",WorkflowRunsFailureRate,Microsoft.Web/sites,1,PT5M,PT5M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
Web,sites,BytesReceived,"The amount of incoming bandwidth consumed by the app, in MiB. For WebApps and FunctionApps.",TRUE,FALSE,"auto-generated, agc-836, rag",BytesReceived,Microsoft.Web/sites,3,PT5M,PT1M,Total,GreaterThan,2048000000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics"
Web,sites,Handles,The total number of handles currently open by the app process. For Windows based WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-778, rag",Handles,Microsoft.Web/sites,2,PT5M,PT1M,Average,GreaterOrLessThan,,DynamicThresholdCriterion,,Low,"{""numberOfEvaluationPeriods"": 4, ""minFailingPeriodsToAlert"": 4}",,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics"
Web,sites,FunctionExecutionUnits,Function Execution Units. For FunctionApps only.,TRUE,FALSE,"auto-generated, agc-463, rag",FunctionExecutionUnits,Microsoft.Web/sites,3,PT5M,PT1M,Total,GreaterThan,13000000000.0,StaticThresholdCriterion,,,,,,,https://learn.microsoft.com/azure/azure-functions/monitor-functions-reference#azure-functions-specific-metrics
Web,sites,WorkflowTriggersFailureRate,Workflow Triggers Failure Rate. For LogicApps only.,TRUE,FALSE,"auto-generated, agc-412, rag",WorkflowTriggersFailureRate,Microsoft.Web/sites,1,PT5M,PT5M,Total,GreaterThan,50.0,StaticThresholdCriterion,,,,,,,
Web,sites,Http2xx,The count of requests resulting in an HTTP status code >= 200 but < 300. For WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-357, rag",Http2xx,Microsoft.Web/sites,3,PT5M,PT5M,Total,GreaterThan,15.0,StaticThresholdCriterion,,,,,,,
Web,sites,CurrentAssemblies,The current number of Assemblies loaded across all AppDomains in this application. For Windows based WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-252, rag",CurrentAssemblies,Microsoft.Web/sites,0,PT1M,PT1M,Average,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
Web,sites,slots - Http5xx,The count of requests resulting in an HTTP status code >= 500 but < 600.  For WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-1692, rag",Http5xx,Microsoft.Web/sites/slots,1,PT15M,PT5M,Total,GreaterThan,10.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics
https://techcommunity.microsoft.com/t5/apps-on-azure-blog/diagnose-app-service-web-apps-performance-issues-and-failing/ba-p/3339437
https://learn.microsoft.com/azure/app-service/troubleshoot-http-502-http-503"
Web,sites,slots - HttpResponseTime,"The time taken for the app to serve requests, in seconds.  For WebApps and FunctionApps.",TRUE,FALSE,"auto-generated, agc-662, rag",HttpResponseTime,Microsoft.Web/sites/slots,1,PT30M,PT15M,Average,GreaterThan,5.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics
https://learn.microsoft.com/azure/app-service/troubleshoot-performance-degradation#collect"
Web,sites,slots - Http4xx,The count of requests resulting in an HTTP status code >= 400 but < 500.  For WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-486, rag",Http4xx,Microsoft.Web/sites/slots,1,PT30M,PT15M,Average,GreaterThan,5.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics"
Web,sites,slots - AverageMemoryWorkingSet,"The average amount of memory used by the app, in megabytes (MiB).  For WebApps and FunctionApps.",TRUE,FALSE,"auto-generated, agc-381, rag",AverageMemoryWorkingSet,Microsoft.Web/sites/slots,3,PT5M,PT5M,Average,GreaterThan,800000000.0,StaticThresholdCriterion,,,,,,,
Web,sites,slots - HealthCheckStatus,Health check status.  For WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-291, rag",HealthCheckStatus,Microsoft.Web/sites/slots,3,PT5M,PT1M,Average,LessThan,100.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics
https://learn.microsoft.com/azure/app-service/monitor-instances-health-check?tabs=dotnet"
Web,sites,slots - Http403,The count of requests resulting in HTTP 403 status code.  For WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-270, rag",Http403,Microsoft.Web/sites/slots,0,PT30M,PT15M,Total,GreaterThan,5.0,StaticThresholdCriterion,,,,,,,
Web,sites,slots - Http404,The count of requests resulting in HTTP 404 status code.  For WebApps and FunctionApps.,TRUE,FALSE,"auto-generated, agc-258, rag",Http404,Microsoft.Web/sites/slots,2,PT15M,PT5M,Average,GreaterThan,30.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/app-service/web-sites-monitor#understand-metrics
https://learn.microsoft.com/azure/azure-monitor/reference/supported-metrics/microsoft-web-sites-metrics"
Kusto,clusters,IngestionLatencyInSeconds,"Latency of data ingested, from the time the data was received in the cluster until it's ready for query. The ingestion latency period depends on the ingestion scenario.",TRUE,FALSE,"auto-generated, agc-2230",IngestionLatencyInSeconds,Microsoft.Kusto/clusters,4,PT6H,PT5M,Minimum,GreaterThanOrEqual,1800.0,StaticThresholdCriterion,,,,,,,
Kusto,clusters,KeepAlive,Sanity check indicates the cluster responds to queries,TRUE,FALSE,"auto-generated, agc-1315",KeepAlive,Microsoft.Kusto/clusters,4,PT30M,PT5M,Average,LessThanOrEqual,0.5,StaticThresholdCriterion,,,,,,,
Kusto,clusters,BlobsDropped,Number of blobs permanently rejected by a component.,TRUE,FALSE,"auto-generated, agc-1139",BlobsDropped,Microsoft.Kusto/clusters,4,PT15M,PT5M,Total,GreaterThanOrEqual,100.0,StaticThresholdCriterion,,,,,,,
Kusto,clusters,IngestionResult,"Total number of sources that either failed or succeeded to be ingested. Splitting the metric by status, you can get detailed information about the status of the ingestion operations.",TRUE,FALSE,"auto-generated, agc-1111",IngestionResult,Microsoft.Kusto/clusters,4,PT30M,PT15M,Total,GreaterThanOrEqual,300.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""FailureKind"", ""values"": [""Permanent""]}]",,,,,,
Kusto,clusters,CPU,CPU utilization level,TRUE,FALSE,"auto-generated, agc-1023",CPU,Microsoft.Kusto/clusters,3,PT5M,PT1M,Average,GreaterThan,70.0,StaticThresholdCriterion,,,,,,,
Cache,Redis,serverLoad,"The percentage of cycles in which the Redis server is busy processing and not waiting idle for messages. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-15027",serverLoad,Microsoft.Cache/Redis,3,PT15M,PT5M,Average,GreaterThan,85.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,usedmemorypercentage,"The percentage of cache memory used for key/value pairs. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-13670",usedmemorypercentage,Microsoft.Cache/Redis,2,PT15M,PT5M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,connectedclients,"The number of client connections to the cache. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-10156",connectedclients,Microsoft.Cache/Redis,3,PT15M,PT5M,Maximum,GreaterThan,850.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,cacheRead,"The amount of data read from the cache in bytes per second. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-7790",cacheRead,Microsoft.Cache/Redis,3,PT15M,PT5M,Average,GreaterThan,46875000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,percentProcessorTime,"The CPU utilization of the Azure Redis Cache server as a percentage. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-4143",percentProcessorTime,Microsoft.Cache/Redis,3,PT5M,PT1M,Average,GreaterThan,80.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,allusedmemorypercentage,"The percentage of cache memory used for key/value pairs. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-1844",allusedmemorypercentage,Microsoft.Cache/Redis,3,PT5M,PT1M,Average,GreaterThan,85.0,StaticThresholdCriterion,,,,,,,
Cache,Redis,allserverLoad,"The percentage of cycles in which the Redis server is busy processing and not waiting idle for messages. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-1571",allserverLoad,Microsoft.Cache/Redis,3,PT15M,PT1M,Average,GreaterThan,75.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""ShardId"", ""values"": [""*""]}, {""operator"": ""include"", ""name"": ""primary"", ""values"": [""true""]}]",,,,,,
Cache,Redis,cacheLatency,"The latency to the cache in microseconds. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-1543",cacheLatency,Microsoft.Cache/Redis,3,PT5M,PT1M,Average,GreaterThan,10000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,errors,"The number errors that occured on the cache. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-1534",errors,Microsoft.Cache/Redis,3,PT5M,PT1M,Maximum,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
Cache,Redis,allpercentprocessortime,"The CPU utilization of the Azure Redis Cache server as a percentage. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-1411",allpercentprocessortime,Microsoft.Cache/Redis,3,PT15M,PT1M,Average,GreaterThan,60.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""ShardId"", ""values"": [""*""]}, {""operator"": ""include"", ""name"": ""primary"", ""values"": [""true""]}]",,,,,,
Cache,Redis,usedmemory,"The amount of cache memory used for key/value pairs in the cache in MB. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-1131",usedmemory,Microsoft.Cache/Redis,3,PT5M,PT5M,Maximum,GreaterThan,200000000.0,StaticThresholdCriterion,,,,,,,
Cache,Redis,usedmemoryRss,"The amount of cache memory used in MB, including fragmentation and metadata. For more details, see https://aka.ms/redis/metrics.",TRUE,FALSE,"auto-generated, agc-549",usedmemoryRss,Microsoft.Cache/Redis,3,PT5M,PT1M,Average,GreaterThan,11000000000.0,StaticThresholdCriterion,,,,,,,"https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor
https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-monitor#list-of-metrics"
